prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
150.0,4.75,130.0,4.0,4.0,2.0,8.0,900.0,660.0,9.0,0.0,3.0,5.0,2.0,3.0,14.0,8.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0
40.0,0.0,45.0,1.0,1.0,0.5,2.0,900.0,720.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
98.0,0.0,60.0,2.0,3.0,1.0,4.0,960.0,660.0,8.0,0.0,2.0,3.0,2.0,0.0,10.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
60.0,0.0,10.0,1.0,2.0,0.5,2.0,840.0,660.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0
115.0,4.8,50.0,1.0,1.0,1.0,4.0,900.0,600.0,9.0,0.0,0.0,3.0,1.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
80.0,5.0,90.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.791759469228055,1.0,6.0,3.0,4.0,12.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
31.0,4.46,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,3.8501476017100584,1.0,3.0,2.0,1.0,9.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
105.0,4.87,60.0,2.0,3.0,1.0,4.0,840.0,660.0,10.0,0.0,1.0,2.0,2.0,3.0,9.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
50.0,4.76,0.0,1.0,1.0,2.0,2.0,900.0,740.0,9.0,4.31748811353631,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
37.0,4.33,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,3.2188758248682006,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
